mmsi,vessel_proximity,timestamp
529123000,"[529123000, 352656000, 518998309]",2023-03-20 05:30:00+00
565761000,"[564654000, 232345740, 529123000, 232006548, 352656000]",2023-03-21 22:30:00+00
564780000,[352002300],2023-03-13 14:30:00+00
875832716,"[232006548, 563014650, 889799564, 232345740, 565761000, 218719092, 538008064]",2023-03-15 01:30:00+00
529123000,"[352656000, 875832716, 563078430, 564780000]",2023-03-22 14:30:00+00
565761000,[563078430],2023-03-10 19:30:00+00
564780000,[564654000],2023-03-05 09:30:00+00
352656000,[],2023-03-10 11:30:00+00
564780000,"[518998309, 875832716]",2023-03-23 01:30:00+00
564780000,"[564780000, 352656000]",2023-03-09 13:30:00+00
563078430,[563014650],2023-03-07 06:30:00+00
529123000,[565761000],2023-03-05 02:30:00+00
529123000,"[564780000, 563078430, 565761000]",2023-03-06 01:30:00+00
352656000,[352656000],2023-03-18 22:29:53+00
352656000,[529123000],2023-03-07 00:30:00+00
518998309,"[565761000, 232345740, 538008084, 564780000]",2023-03-18 10:30:00+00
538008084,"[529123000, 565761000, 352656000]",2023-03-20 04:30:00+00
563014650,"[564780000, 563078430, 232345740, 529123000]",2023-03-22 12:30:00+00
563078430,"[518998309, 563014650]",2023-03-24 03:30:00+00
352656000,"[563014650, 563078430, 565761000]",2023-03-06 12:30:00+00
563014650,"[352656000, 563078430]",2023-03-10 23:30:00+00
564780000,"[563014650, 563078430]",2023-03-08 23:30:00+00
565761000,"[565761000, 875832716, 563014650, 564780000, 232006548, 529123000]",2023-03-22 10:30:00+00
564780000,"[564780000, 563014650, 232006548, 352656000, 875832716]",2023-03-15 22:30:00+00
875832716,"[564780000, 538008064, 232006548, 898998797, 518998309]",2023-03-17 09:30:00+00
564654000,"[564780000, 538008084, 565761000]",2023-03-08 08:30:00+00
538008064,"[352656000, 232006548, 564780000]",2023-03-15 10:30:00+00
563078430,"[563078430, 564780000, 218719092, 875832716, 563014650, 518998309]",2023-03-21 22:30:00+00
529123000,"[529123000, 875832716, 889799564, 563078430]",2023-03-15 10:30:00+00
564654000,"[563014650, 352656000, 564780000]",2023-03-14 14:30:00+00
529123000,"[352656000, 563078430, 565761000]",2023-03-14 09:30:00+00
518998309,"[518998309, 563014650, 564654000, 538008084]",2023-03-20 02:30:00+00
564780000,[564780000],2023-03-04 23:30:00+00
565761000,[564780000],2023-03-09 20:30:00+00
